Weekly Flight change,Global,China,South Korea,Japan,United States,France,Germany,United Kingdom,Italy,Hong Kong,Australia,Singapore,Spain
6-Jan-20,1.5,7.8,1.8,2.6,1.6,0.5,-8.6,-1.8,0.8,-11.3,-3.4,-1.1,-1.1
13-Jan-20,1.3,8.8,2.1,2.3,1.3,-2.3,-8.8,-4.1,-5,-10.8,-3.4,-0.1,-4.6
20-Jan-20,0.5,1.6,3.4,2.6,1.5,-2.7,-8.4,-4.2,-4.2,-8,-3.2,1.2,-4.8
27-Jan-20,0.1,-0.5,1.4,2.1,2.2,-2.1,-8.5,-5.1,-4.8,-8.7,-3.9,-0.3,-4.5
3-Feb-20,-3.6,-22.7,-3.4,-0.8,1.5,-1.1,-7.9,-4.3,-4.3,-20.6,-3.6,-8.2,-3.8
10-Feb-20,-10,-63.3,-9.3,-3.2,1.3,-0.2,-8,-4,-3.5,-44.7,-5,-15.4,-2.5
17-Feb-20,-10.7,-70.8,-15.7,-4.6,1.5,0.8,-6.6,-3,-2.8,-57.7,-1.7,-18.5,0.6
24-Feb-20,-10.1,-62.3,-17.9,-5.6,0.6,-1.3,-5.1,-1.9,-6.2,-63.3,-2.5,-22.4,-1.6
2-Mar-20,-7.9,-41.6,-34.1,-7.6,-2.1,-2.8,-5,-2.7,-8.8,-70.4,-1.7,-25.4,-1.4
9-Mar-20,-10.1,-42.9,-52.1,-15,-1.3,-3.8,-15.4,-15.5,-21.6,-77.5,-2.3,-35.7,-2.9
16-Mar-20,-12.4,-38.7,-56.1,-19.1,-0.5,-13.7,-30.2,-19.3,-73.9,-80.8,-2.9,-35.5,-13.7
23-Mar-20,-28.7,-37.5,-55.7,-24.3,-4.8,-41.3,-71.9,-53.5,-88,-81.7,-15.9,-76.9,-74.3
