Global Stock Index,Jan 1 to 23,Jan 23 to Mar 6,Mar 6 to Mar 18
CSI 300 (China),-1.9,3.4,-12.1
NASDAQ 100 (U.S.),5.8,-7.4,-12.4
S&P500 (U.S.),3.2,-10.6,-14.9
Hang Seng (Hong Kong),-1.4,-6.3,-14.7
SMI (Switzerland),1.9,-10,-14.4
MSCI World Index (global),2.2,-10.7,-17.5
STI (Singapore),0.4,-8.5,-18.1
KOSPI (South Korea),2.2,-9.2,-22
Nikkei 225 (Japan),0.6,-12.8,-19.4
Stoxx 600 (Europe),0.9,-12.7,-23.8
AEX (Netherlands),0,-12.3,-23.7
FTSE 100 (UK),-1,-13.9,-21.4
IBEX 35 (Spain),-1,-12,-25.1
FTSE MIB (Italy),0.9,-12.3,-27.3
DAX 30 (Germany),1.1,-13.8,-26.4
CAC 40 (France),-0.2,-13.9,-26.7
ATG (Greece),2.3,-27.1,-28.8
