state,called,final,dem_votes,rep_votes,other_votes,stateid,2016 Margin,,,
Alabama,R,Yes,"849,624","1,441,170","32,488",AL,0.365699902,,,
Alaska,R,Yes,"153,778","189,951","15,801",,0.427719523,,,
Arizona,D,Yes,"1,672,143","1,661,686","53,497",AZ,0.493646906,,,
Arkansas,R,Yes,"423,932","760,647","34,490",AR,0.34775062,,,
California,D,Yes,"11,110,250","6,006,429","384,192",,0.634839832,,,
Colorado,D,Yes,"1,804,352","1,364,607","87,993",CO,0.554000182,,,
Connecticut,D,Yes,"1,080,831","714,717","28,309",CT,0.592607315,,,
Delaware,D,Yes,"296,268","200,603","7,475",DE,0.587430058,,,
District of Columbia,D,Yes,"317,323","18,586","8,447",DC,0.921496939,,,
Florida,R,Yes,"5,297,045","5,668,731","101,680",FL,0.478614507,,,
Georgia,D,Yes,"2,473,633","2,461,854","62,229",GA,0.494952694,,,
Hawaii,D,Yes,"366,130","196,864","11,475",HI,0.637336392,,,
Idaho,R,Yes,"287,021","554,119","26,091",ID,0.330962569,,,
Illinois,D,Yes,"3,471,915","2,446,891","114,938",IL,0.575416358,,,
Indiana,R,Yes,"1,242,413","1,729,516","61,183",IN,0.409616592,,,
Iowa,R,Yes,"759,061","897,672","34,138",IA,0.448917156,,,
Kansas,R,Yes,"570,323","771,406","30,574",KS,0.415595535,,,
Kentucky,R,Yes,"772,474","1,326,646","37,648",KY,0.361515148,,,
Louisiana,R,Yes,"856,034","1,255,776","36,252",LA,0.398514568,,,
Maine,D,Yes,"435,072","360,737","23,652",ME,0.530924596,,,
Maryland,D,Yes,"1,985,023","976,414","75,593",MD,0.653606649,,,
Massachusetts,D,Yes,"2,382,202","1,167,202","81,998",MA,0.65600063,,,
Michigan,D,Yes,"2,804,040","2,649,852","85,410",MI,0.506208183,,,
Minnesota,D,Yes,"1,717,077","1,484,065","76,029",MN,0.523950993,,,
Mississippi,R,Yes,"539,508","756,789","17,597",MS,0.410617599,,,
Missouri,R,Yes,"1,253,014","1,718,736","54,212",MO,0.414087817,,,
Montana,R,Yes,"244,786","343,602","15,286",MT,0.405493694,,,
Nebraska,R,Yes,"374,583","556,846","20,283",NE,0.393588607,,,
Nevada,D,Yes,"703,486","669,890","32,000",NV,0.50056782,,,
New Hampshire,D,Yes,"424,921","365,654","15,607",NH,0.527078253,,,
New Jersey,D,Yes,"2,608,335","1,883,274","57,744",NJ,0.573341968,,,
New Mexico,D,Yes,"501,614","401,894","20,457",NM,0.542892858,,,
New York,D,Yes,"5,244,886","3,251,997","119,978",NY,0.608677104,,,
North Carolina,R,Yes,"2,684,292","2,758,775","81,737",NC,0.485861942,,,
North Dakota,R,Yes,"114,902","235,595","11,322",ND,0.317567624,,,
Ohio,R,Yes,"2,679,165","3,154,834","88,203",OH,0.452393383,,,
Oklahoma,R,Yes,"503,890","1,020,280","36,529",OK,0.322861743,,,
Oregon,D,Yes,"1,340,383","958,448","75,490",OR,0.564533187,,,
Pennsylvania,D,Yes,"3,458,229","3,377,674","79,380",PA,0.500084957,,,
Rhode Island,D,Yes,"307,486","199,922","10,349",RI,0.593880913,,,
South Carolina,R,Yes,"1,091,541","1,385,103","36,685",SC,0.434300881,,,
South Dakota,R,Yes,"150,471","261,043","11,095",SD,0.356052521,,,
Tennessee,R,Yes,"1,143,711","1,852,475","57,665",TN,0.374514343,,,
Texas,R,Yes,"5,259,126","5,890,347","165,583",TX,0.464790099,,,
Utah,R,Yes,"560,282","865,140","62,867",UT,0.376460486,,,
Vermont,D,Yes,"242,820","112,704","11,904",VT,0.660864169,,,
Virginia,D,Yes,"2,413,568","1,962,430","84,526",VA,0.541095172,,,
Washington,D,Yes,"2,369,612","1,584,651","133,368",WA,0.579703011,,,
West Virginia,R,Yes,"235,984","545,382","13,286",WV,0.296965212,,,
Wisconsin,D,Yes,"1,630,866","1,610,184","56,991",WI,0.494495369,,,
Wyoming,R,Yes,"73,491","193,559","9,715",WY,0.265535743,,,
